编号,建议负责方,待核内容,证据或通过记录,影响交付,状态,实测值或结论,证据链接或图号,签认人,日期
V01,测绘/设计师,现状净尺寸、门窗开启、梁柱、暖气、检修口、标高,完整测绘图及关键净宽照片,所有落位图,历史事项待复核；不得沿用旧通过记录,,,,
V02,结构/设计师/施工,餐区北、厨房西南、餐区西可拆墙段,粗墙、梁柱、公卫及C/D墙保留；逐段确认材质管线,M01–M03；拆改与完成图同源,历史事项待复核；不得沿用旧通过记录,,,,
V03,设计师/物业及当地主管要求,C改带水备餐/用餐的用途条件,明确可行用途及设备边界的记录,C功能与固定设备清单,历史事项待复核；不得沿用旧通过记录,,,,
V04,燃气单位/物业/设计师,开放餐厨保留燃气的使用条件,当地条件、用途、排烟、补风、报警及燃气专业书面意见,无餐厨分隔；条件不允许须重新协调设计,历史事项待复核；不得沿用旧通过记录,,,,
V05,给排水/结构/物业,阳台B保温防冻、承载、合规排污、搬运,管道属性及接入、环境、承载核查记录,L01洗烘柜,历史事项待复核；不得沿用旧通过记录,,,,
V06,给排水/设备供应方,岛台西侧基站净预留、上下水、整机检修及进出；旧R01/L02仅为历史对照,合法水路、干湿条件、设备前场及开门清扫往返演示；关门受阻记录,机器人不另占公共空间，不得把两处都当已核定安装位,历史事项待复核；不得沿用旧通过记录,,,,
V07,电气专业,入户容量、接地及保护、设备同时用电,铭牌清单、负荷表、回路与保护设计,水电施工图,历史事项待复核；不得沿用旧通过记录,,,,
V08,设计师/暖通专业,家庭厅通行、阅读、隔声与通风,入口有框子母门；周边及下沉密封；桌椅后退与南浅北深柜放样,家庭厅连续通行、房门实际净宽分别核查,历史事项待复核；不得沿用旧通过记录,,,,
V09,设计师/业主/设备商,四／六人拉椅、右侧冰箱、蒸烤一体机与嵌入式微波炉开启、洗碗装卸,真实设备门/抽屉角度及人位；操作和通行分算,正常北带1100、全部拉出600mm；恢复就座再携600mm衣篮,历史事项待复核；不得沿用旧通过记录,,,,
V10,柜体商/设备供应方,安装、散热、独立拆出、滤芯和尘袋抽取,型号对应柜图、维护包络及演示,柜体下单与验收,历史事项待复核；不得沿用旧通过记录,,,,
V11,施工/防水专业,湿区防水挡水、干区连续地面,标高图、防水施工与按当地要求验收记录,地面做法,历史事项待复核；不得沿用旧通过记录,,,,
V12,施工/业主,自动上下水、漏水报警、实体控制,机器人完整往返、分点漏水模拟及断网操作记录,交付验收,历史事项待复核；不得沿用旧通过记录,,,,
V13,业主/柜体商,C/D南墙整面柜,净墙长扣端部散热和安装余量，先定冰箱及必配蒸烤,咖啡1800mm；取消食品柜，原柜列余401mm留空；微波炉散热待厂家,历史事项待复核；不得沿用旧通过记录,,,,
V14,设计师/业主,家庭厅与卧室入口,1700×700桌、南浅北深柜、入口子母门及改位鞋柜共同放样,房门洞口、门框每端45mm及门扇全运动见模型快照,历史事项待复核；不得沿用旧通过记录,,,,
V15,影音/电气/设计师,西墙沙发、常规投影及东侧可收纳幕,实测镜头至幕、投射比、画幅/坐距、遮光、风噪、信号与承重；幕落下通往D/阳台A演示,投影/幕布型号及吊点/回路下单,历史事项待复核；不得沿用旧通过记录,,,,
V16,暖通/结构/电气/影音,AC01风管机＋AC02–AC05独立挂机,负荷含餐区、净高梁位、送回风检修、冷媒冷凝水及室外机,AC01幕盒及吊点协调；挂机避主要座席直吹,历史事项待复核；不得沿用旧通过记录,,,,
V17,测绘/设计师,底图对位及墙厚、B/C/D飘窗、入户转折、公卫门洞,11图与底图对位核验CSV逐点核，补实测净尺寸,所有专业使用同一模型；窗台不计净宽,历史事项待复核；不得沿用旧通过记录,,,,
V18,给排水/结构/物业,C02至W0管路、地面H和接入内底z0,逐段长度、坡度、落差、支管属性、结构障碍及剖面签认,13图；平地保留带水需求,历史事项待复核；不得沿用旧通过记录,,,,
V19,暖通/幕墙/影音,阳台A封窗、AC01梁窗头机身吊顶与检修,12图实测净高、厂家安装图、站人检修、投影灯具窗帘共同放样,向客厅北送风、客厅侧回风,历史事项待复核；不得沿用旧通过记录,,,,
V20,暖通/柜体商,AC05与家庭厅北墙及书桌,实测顶侧距、滤网、孔位、排水及外机,旧书柜不作为已建家具，管线仅补充概念,历史事项待复核；不得沿用旧通过记录,,,,
V21,设备/给排水/业主,岛台西侧基站净预留、上下水、整机检修及进出；旧R01/L02仅为历史对照,14图核洁具、干湿边界、门槛、进出、托盘及阀门；L02开门/洗烘维护/搬机/携篮,不移动洁具或压缩洗烘前场,历史事项待复核；不得沿用旧通过记录,,,,
V22,家具厂家/业主,岛桌支撑70×120、端距15、梁底680mm,膝顶650、梁下30、六人端膝15mm；实际人体及家具复核,承载、伸缩锁止、可拆收口及水槽检修,历史事项待复核；不得沿用旧通过记录,,,,
V23,暖通/测绘,AC02/03沿东墙800×240候选,"AC02(6380,-7250,240,800)；AC03(3736,-3750,240,800)；核背板实墙、飘窗及衣柜",送风向西；三类管线起点随设备,历史事项待复核；不得沿用旧通过记录,,,,
V24,本轮新增,M03北侧180×120mm孤立块,仅拟拆北块；保留C/D端墙120×300mm,现场确认结构性质后才可实施,历史事项待复核；不得沿用旧通过记录,,,,
V25,本轮新增,有框子母安全玻璃门,整门隔声检测、安装缝、周边及下沉密封、关门通风,主副扇与五金按选型替换净宽,历史事项待复核；不得沿用旧通过记录,,,,
R103-01,设计／设备／现场施工方,主卫缩小墙体可改性、排污立管、坑距、排风、防水和原淋浴管口封堵,提供实测或厂家证据后复核,R10.4二维方案,待核,,,,
R103-02,设计／设备／现场施工方,3200衣柜净容量、门400、抽屉450、使用者衣物数量和床侧放样,提供实测或厂家证据后复核,R10.4二维方案,待核,,,,
R103-03,设计／设备／现场施工方,1600岛台、两种就座、冰箱实际开门和热食端取,提供实测或厂家证据后复核,R10.4二维方案,待核,,,,
R103-04,设计／设备／现场施工方,基站实际安装图、检修、上下水、电源和机器人进出,提供实测或厂家证据后复核,R10.4二维方案,待核,,,,
R103-05,设计／设备／现场施工方,蒸烤与微波尺寸、叠放许可、供电负荷、散热、取水箱及操作高度,提供实测或厂家证据后复核,R10.4二维方案,待核,,,,
R103-06,设计／设备／现场施工方,客卫唯一淋浴的换衣、干湿分隔、家人错峰及检修停用安排,提供实测或厂家证据后复核,R10.4二维方案,待核,,,,
R103-07,设计／设备／现场施工方,R10.4完整衣篮路线及鞋柜关闭、餐椅和房门状态；历史受阻线保留对照,提供实测或厂家证据后复核,R10.4二维方案,待核,,,,
R104-01,设计／现场／柜体厂家,原1010短墙性质与可改性；不得侵占1500家庭厅门洞,提供实测或安装图后复核,R10.4,待核,,,,
R104-02,设计／现场／柜体厂家,柜墙30／80收口、原门框固定、50背衬密封与独立固定,提供实测或安装图后复核,R10.4,待核,,,,
R104-03,设计／现场／柜体厂家,既有开关线路迁改、开放格照明与可检修电源,提供实测或安装图后复核,R10.4,待核,,,,
R104-04,设计／现场／柜体厂家,鞋柜把手≤5、房门把手50及门套45概念余量，实物放样,提供实测或安装图后复核,R10.4,待核,,,,
