来源ID,类别,名称,版本,适用依据与限制,证据状态,链接
GB3326,国家推荐标准,GB/T 3326—2016 桌椅凳,2016,本轮官方检索确认现行版本；本轮未取得条款全文，不能据此写强制尺寸,本轮官方检索确认现行；具体条款全文待核,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0C497FF8C85FCAE7A6D790CE5D4F8BA5
GB3327,国家推荐标准,GB/T 3327—2016 柜类,2016,本轮官方检索确认现行版本；本轮未取得条款全文，不能据此写强制尺寸,本轮官方检索确认现行；具体条款全文待核,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=12568928D20700CCAD1EFF9CD43B35A6
GB3328,国家推荐标准,GB/T 3328—2016 床类,2016,本轮官方检索确认现行版本；本轮未取得条款全文，不能据此写强制尺寸,本轮官方检索确认现行；具体条款全文待核,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=E27B477533A5AA2D371853F067258E60
GB28007,国家强制标准,GB 28007—2024 婴幼儿及儿童家具安全技术规范,2024-06-25发布；2026-01-01实施,儿童家具安全及适用范围需产品证据；不从标准名推导适配高度,本轮官方检索确认现行；具体条款全文待核,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=1F3910E089378480AED28E14CA392840
GB18883,国家推荐标准,GB/T 18883—2022 室内空气质量标准,2022,每人30m³/h作为本项目比较基准；条款与评价方法待全文核对，非本建筑施工验收结论,本轮官方检索确认现行；具体条款全文待核,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=6188E23AE55E8F557043401FC2EDC436
BUILDING,建筑通风要求,GB 55016—2021、GB 50736—2012及GB 55038—2025适用性待核,网页未标版本；访问2026-09-14,既有住宅改造适用条款、北京地方要求与审查口径交暖通专业核定；本轮未宣称全部现行建筑要求满足,待专业核查,https://www.mohurd.gov.cn/
CLEANUP_CATALOG,厂家规划目录,STEDIA 官方目录入口,网页未标版本；访问2026-09-14,链接catalabo目录0259_stediaca；当前目录ID 49210710000。目录入口可读；模块安装表尚未取得,本轮读取官方页面,https://cleanup.jp/catalogue/user/catalogue/
CLEANUP_BEIJING,大陆销售渠道,Cleanup 官方海外销售据点,网页未标版本；访问2026-09-14,列有北京百本木家装饰设计工程有限公司，北京市朝阳区青年路姚家园113号院悦鑫园23号库；名单不证明系列可供货或安装保修责任,本轮读取官方页面,https://cleanup.jp/global/tcn/distributors/
CLEANUP_PLAN,厂家方案展示,STEDIA PLAN16 岛台,网页未标版本；访问2026-09-14,官方为フラット対面I型 アイランド；展示价格明确不含搬入与安装。平面尺寸在图像中，本轮未从像素推算,本轮读取官方页面,https://cleanup.jp/kitchen/stedia/plan/plan16.shtml
CLEANUP_PDF,厂家目录,STEDIA繁中目录,网页未标版本；访问2026-09-14,取得文件受本机E-SafeNet保护，无法作为普通PDF解析；未读取其模块尺寸，不作安装依据,本机受保护文件，未解析,https://cleanup.jp/global/tcn/catalog/pdf/STEDIA_TCN.pdf
TCL_P7,大陆产品规格,TCL小蓝翼P7挂机,网页未标版本；访问2026-09-14,页面分别写16分贝静音新风、免扩孔30m³/h新风量、睡眠模式主动开启新风；未给16分贝对应实测风量,本轮读取官方页面,https://www.tcl.com/cn/zh/air-conditioners/35gw-yp7cab1
TCL_C7,大陆产品规格,TCL小蓝翼C7挂机,网页未标版本；访问2026-09-14,官方系列页列16分贝静音新风；以具体SKU安装手册及各档性能表复核,本轮读取官方页面,https://www.tcl.com/cn/zh/air-conditioners/krf-35gw-yc7ca-b1
TCL_ULTRA,大陆产品规格,TCL小蓝翼P7 Ultra挂机,网页未标版本；访问2026-09-14,页面写60m³/h澎湃新风量、微正压从室外引入空气；内循环净化另列，不计入室外新风,本轮读取官方页面,https://www.tcl.com/cn/zh/air-conditioners/xly-p7-ultra
SITE,现场待核,层高、开孔、噪声、排水与家具实物,网页未标版本；访问2026-09-14,2.8m为概念层高；夫妻178/165cm；孩子身高、床架与设备安装图未提供,现场待核,
