编号,建议负责方,待核内容,证据或通过记录,影响交付,状态,实测值或结论,证据链接或图号,签认人,日期
V01,测绘/设计师,现状净尺寸、门窗开启、梁柱、暖气、检修口、标高,完整测绘图及关键净宽照片,所有落位图,待现场核验,,,,
V02,结构/设计师/施工,餐区北、厨房西南、餐区西可拆墙段,粗墙、梁柱、公卫及C/D墙保留；逐段确认材质管线,M01–M03；拆改与完成图同源,待现场确认后实施,,,,
V03,设计师/物业及当地主管要求,C改带水备餐/用餐的用途条件,明确可行用途及设备边界的记录,C功能与固定设备清单,待确认,,,,
V04,燃气单位/物业/设计师,开放餐厨保留燃气的使用条件,当地条件、用途、排烟、补风、报警及燃气专业书面意见,无餐厨分隔；条件不允许须重新协调设计,未确认合规，待现场核验,,,,
V05,给排水/结构/物业,阳台B保温防冻、承载、合规排污、搬运,管道属性及接入、环境、承载核查记录,L01洗烘柜,待现场核验,,,,
V06,给排水/设备供应方,L02阳台B首选、R01公卫干区备选，二选一,合法水路、干湿条件、设备前场及开门清扫往返演示；关门受阻记录,机器人不另占公共空间，不得把两处都当已核定安装位,候选位置已改，条件待核,,,,
V07,电气专业,入户容量、接地及保护、设备同时用电,铭牌清单、负荷表、回路与保护设计,水电施工图,待核算,,,,
V08,设计师/暖通专业,家庭厅通行、阅读照明和通风温控,桌椅/柜门展开后A/B路线记录；空气交换及任务照度测量,原餐厅整体共享功能；不再把开放厅当独立隔声书房,按共享厅深化，待确认/实测,,,,
V09,设计师/业主/设备商,四/六人拉椅、冰箱与两台蒸烤全开、洗碗装卸,真实设备门/抽屉角度及人位；操作和通行分算,北侧就座1000、全拉椅650；600携篮按状态计算；全拉椅至南柜门48非通路,南排就座须与蒸烤/咖啡取物错时；携篮就座状态暂停岛北操作，全拉椅状态暂停洗碗装卸；现场待测,,,,
V10,柜体商/设备供应方,安装、散热、独立拆出、滤芯和尘袋抽取,型号对应柜图、维护包络及演示,柜体下单与验收,待选型,,,,
V11,施工/防水专业,湿区防水挡水、干区连续地面,标高图、防水施工与按当地要求验收记录,地面做法,待设计/验收,,,,
V12,施工/业主,自动上下水、漏水报警、实体控制,机器人完整往返、分点漏水模拟及断网操作记录,交付验收,待安装后验证,,,,
V13,业主/柜体商,C/D南墙整面柜,净墙长扣端部散热和安装余量，先定冰箱及必配蒸烤,咖啡1300＋食品剩余；取箱废水盘开门放样,待净尺寸、型号及安装图,,,,
V14,设计师/业主,家庭厅入口至A/B,西侧650深柜门、北桌办公椅、入口鞋柜共同展开,南侧无落地柜，桌上280书柜集中西侧，让出AC05,桌端至B墙980；卧室门洞750–840估读，低于通行目标处需现场复核,,,,
V15,影音/电气/设计师,西墙沙发、常规投影及东侧可收纳幕,实测镜头至幕、投射比、画幅/坐距、遮光、风噪、信号与承重；幕落下通往D/阳台A演示,投影/幕布型号及吊点/回路下单,待选型与实测,,,,
V16,暖通/结构/电气/影音,AC01风管机＋AC02–AC05独立挂机,负荷含餐区、净高梁位、送回风检修、冷媒冷凝水及室外机,AC01幕盒及吊点协调；挂机避主要座席直吹,匹数、吊顶高度、排水高差及室外机位待核,,,,
V17,测绘/设计师,底图对位及墙厚、B/C/D飘窗、入户转折、公卫门洞,11图与底图对位核验CSV逐点核，补实测净尺寸,所有专业使用同一模型；窗台不计净宽,原图对位已文件核查，现场待测,,,,
V18,给排水/结构/物业,C02至W0管路、地面H和接入内底z0,逐段长度、坡度、落差、支管属性、结构障碍及剖面签认,13图；平地保留带水需求,重力排水未成立；不得擅自改干岛或提升泵,,,,
V19,暖通/幕墙/影音,阳台A封窗、AC01梁窗头机身吊顶与检修,12图实测净高、厂家安装图、站人检修、投影灯具窗帘共同放样,向客厅北送风、客厅侧回风,吊顶高度/冷凝水接点/外机待核,,,,
V20,暖通/柜体商,AC05北实墙、A门洞西侧与西部书柜,顶距/侧距/滤网抽取、实际孔位、冷媒电线冷凝水及外机记录,06/10图；普通挂机,维护间距尚待厂家验证,,,,
