编号,事项,责任方,待核内容,停止或使用条件,状态
V01,全屋实测与坐标,设计／测绘,墙厚、梁柱、门窗、飘窗、层高和地面标高均须实测；布局毫米精度不代表现场精度,data/layout.json与全屋图逐点对照,待核
V02,柜墙与家庭厅门,结构／柜体／门厂,1010短墙可改性、30／80收口、50背衬独立固定密封、1500门洞及门框固定,不侵占门洞、不加柜深、不移动书桌或大件柜；否则暂停,待核
V03,鞋柜电气与容量,柜体／电气／业主,开关线路、格灯可检修电源；鞋型实放330净深，长靴与鞋盒重配层,不得保证25双；24双仅标准模板理论值,待核
V04,家庭厅五金与操作,门厂／柜体,门套45、突出把手50及鞋柜把手≤5概念余量；浅柜双移轨计入450总深,南浅柜取物与主门全开须错时；检查净取物口,待核
V05,主卧A门五金冲突,门厂／设计,50mm把手在87–90°与西墙相交，限位或实际五金尚未确认,暂停五金定稿，不改变已确认门位,待核
V06,主卫缩卫与洁具,结构／给排水,1700×1400无淋浴；排污坑距、立管、排风、防水及旧淋浴管口封堵,机体中心不是排污点；禁止据概念直接下单,待核
V07,入口衣柜与床,柜体／业主,3200×600衣柜、四800模块、400门扇和450抽屉；净宽3056、挂杆概念总长3820,柜端至床940；床东1100；入口南界至柜前1570，实物放样,待核
V08,唯一客卫淋浴,给排水／业主,淋浴850×850、更衣700×400紧凑；门槛、干湿分隔、地漏及防滑待实测,多人错峰；唯一淋浴停用时无室内替代，不扩大客卫,待核
V09,岛台及就座,柜体／家具,岛台1600×750；四人1600桌／六人1800桌；岛桌支撑与膝部实际人体复核,北排拉椅阻断携篮，座位与设备人位须错时,待核
V10,岛槽重力排水,给排水／结构／物业,原槽位保留；路径长、坡度、接入内底和地面可用高差均待测,不得假定开槽或因机器人泵排而认定岛槽重力排水成立,待核
V11,基站岛台预留,设备／柜体／给排水,净760×650×650仅概念；整机抽出、托盘、上盖、阀门、漏水检测及800×1000进出区,按实际机型核安装图；与水槽柜分隔水电，合法排水待核,待核
V12,高柜及热食,设备／柜体／电气,下蒸烤底650高450；上嵌入微波底1200高380；厂家嵌入叠放许可、散热层板及取水箱,两机负荷及回路、开门、端热食和人员操作放样，不据概念下单,待核
V13,冰箱与咖啡,设备／柜体,冰箱975×750占位、开门角取抽屉散热；咖啡1800台面手动水箱与接水盘,1273名义前距仅关门值；开门600＋站人600仅余73，不能当旁侧通道,待核
V14,厨房设备与燃气,燃气／给排水／设备,开放餐厨保留燃气须当地单位确认；排烟补风、灶烟机、洗碗、净水、可选厨余机维护,燃气未确认合规；阀、电源和存水弯可达；不同设备装卸错时,待核
V15,阳台洗烘,设备／给排水／结构,600级叠放原厂件、过滤器阀门、分机抽出、承载、防冻及端窗开启,合法接管及前场未实测；不封必要窗，不增两排深柜,待核
V16,完整携篮路线,业主／设计,入户至家庭厅、A、B及洗烘共112状态；门固定90、鞋柜关闭，600方篮不旋转,需同时满足A五金条件；北排拉椅与取鞋、设备操作时路线不可同时成立,待核
V17,暖通与影音,暖通／结构／电气／影音,AC01风管机＋AC02–05独立挂机；负荷、冷媒冷凝水、外机、孔位及维护净距待核,投影镜头、投射比、幕盒吊点、灯具窗帘及AC01局部吊顶协同，实物试听试看,待核
V18,交付实物验收,施工／业主,防水验收、逐点漏水模拟、关阀、机器人往返、断网实体控制与线路可更换,模型及本次无渲染核验不替代施工验收,待核
