系统号,保留区域,用途,给排水条件,电气及控制,检修及限制,状态
SYS01,灶台,燃气灶／烟机,燃气、原烟道及补风专业核验,点火/烟机可达电源,开放餐厨保燃气，使用条件待核，未确认合规,当前概念条件；现场及厂家待核
SYS02,书桌,阅读／办公,无,桌面插座、网络、独立任务照明,1700×700电脑桌原位；电源及线缆随桌；AC05维护待厂家,当前概念条件；现场及厂家待核
SYS03,家庭厅顶面,环境照明／独立温控,AC05冷凝水单列,环境光＋任务灯；AC05独立挂机电源,家庭厅照明、温控与通风；北墙不设置桌上书柜,当前概念条件；现场及厂家待核
SYS04,入户墙面可用段,实体场景控制,无,照明/窗帘场景保留实体控制,网络或自动化失效后仍可直接操作,当前概念条件；现场及厂家待核
SYS05,沙发上方/后方吊装条件位,投影仪电源与信号,无,投影电源、可更换HDMI/网络管路，控制与散热检修,按真实镜头至幕距离和投射比定点，避灯具/吊顶/头部，不再预留西墙TV位,当前概念条件；现场及厂家待核
SYS06,大件柜,柜内照明/充电预留,无给排水,实体控制与可达插座，按实际需要设置,大件柜朝东；柜体、书桌和移门操作分别核查,当前概念条件；现场及厂家待核
SYS07,幕布,电动幕电源与控制,无,幕盒供电及实体控制，电机维护可达，承重基层核查,模型幕布后净距1000mm；幕盒及画面实物放样,当前概念条件；现场及厂家待核
SYS08,阳台A顶面靠客厅交界局部吊顶,客厅风管机,冷凝水沿阳台A侧至合法接点核验端点；标高坡度待测,独立系统，电源回路及冷媒规格按选型,实际路由未落实；厂家维护净距、孔位、排水、外机及现场安装条件待核,当前概念条件；现场及厂家待核
SYS09,东实墙靠床尾800×240候选；原位置保留，现场待核,A卧室挂机,冷凝水至待核合法接点，坡度高差待测,独立系统，电源回路及冷媒规格按选型,实际路由未落实；厂家维护净距、孔位、排水、外机及现场安装条件待核,当前概念条件；现场及厂家待核
SYS10,东实墙靠床尾800×240候选；原位置保留，现场待核,B卧室挂机,冷凝水至待核合法接点，坡度高差待测,独立系统，电源回路及冷媒规格按选型,实际路由未落实；厂家维护净距、孔位、排水、外机及现场安装条件待核,当前概念条件；现场及厂家待核
SYS11,床侧近床尾实墙高位,D卧室挂机,冷凝水至待核合法接点，坡度高差待测,独立系统，电源回路及冷媒规格按选型,实际路由未落实；厂家维护净距、孔位、排水、外机及现场安装条件待核,当前概念条件；现场及厂家待核
SYS12,家庭厅北侧、A门洞以西实墙高位,书房挂机,普通挂机冷凝水单独核高差；不增加通风管道,独立系统，电源回路及冷媒规格按选型,实际路由未落实；厂家维护净距、孔位、排水、外机及现场安装条件待核,当前概念条件；现场及厂家待核
SYS13,原厨房主水槽合法生活污水支管核验端点,岛台重力排水接入,以当前岛槽至合法接点实测路径、坡度及可用高差复核；接点和完成面未知,无；检修可达,不预设结构开槽，条件未成立继续协调带水需求,当前概念条件；现场及厂家待核
SYS14,边几／单椅附近,落地灯插座,按选型,沿家具和墙边,线缆待深化；不跨客厅主通路,当前概念条件；现场及厂家待核
