历史点号,保留区域,用途,给排水条件,电气及控制,检修及限制,状态
K02,灶台,燃气灶／烟机,燃气、原烟道及补风专业核验,点火/烟机可达电源,开放餐厨保燃气，使用条件待核，未确认合规,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
S01,书桌,阅读／办公,无,桌面插座、网络、独立任务照明,1700×700电脑桌原位；电源及线缆随桌；AC05维护待厂家,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
S02,家庭厅顶面,环境照明／独立温控,AC05冷凝水单列,环境光＋任务灯；AC05独立挂机电源,家庭厅照明、温控与通风；旧桌上书柜不作为当前家具,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
H01,入户墙面可用段,实体场景控制,无,照明/窗帘场景保留实体控制,网络或自动化失效后仍可直接操作,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
H04,沙发上方/后方吊装条件位,投影仪电源与信号,无,投影电源、可更换HDMI/网络管路，控制与散热检修,按真实镜头至幕距离和投射比定点，避灯具/吊顶/头部，不再预留西墙TV位,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
T01,大件柜,柜内照明/充电预留,无给排水,实体控制与可达插座，按实际需要设置,缩短深柜朝东；柜体、书桌和移门操作分别核查,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
H05,幕布,电动幕电源与控制,无,幕盒供电及实体控制，电机维护可达，承重基层核查,模型幕布后净距1000mm；幕盒及画面实物放样,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
AC01,阳台A顶面靠客厅交界局部吊顶,客厅风管机,冷凝水沿阳台A侧至合法接点核验端点；标高坡度待测,独立系统，电源回路及冷媒规格按选型,补充概念路由；厂家维护净距、孔位、排水、外机及现场安装条件待核,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
AC02,东实墙靠床尾800×240候选；原位置保留，现场待核,A卧室挂机,冷凝水沿图示路由至合法接点，坡度高差待测,独立系统，电源回路及冷媒规格按选型,补充概念路由；厂家维护净距、孔位、排水、外机及现场安装条件待核,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
AC03,东实墙靠床尾800×240候选；原位置保留，现场待核,B卧室挂机,冷凝水沿图示路由至合法接点，坡度高差待测,独立系统，电源回路及冷媒规格按选型,补充概念路由；厂家维护净距、孔位、排水、外机及现场安装条件待核,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
AC04,床侧近床尾实墙高位,D卧室挂机,冷凝水沿图示路由至合法接点，坡度高差待测,独立系统，电源回路及冷媒规格按选型,补充概念路由；厂家维护净距、孔位、排水、外机及现场安装条件待核,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
AC05,家庭厅北侧、A门洞以西实墙高位,书房挂机,普通挂机冷凝水单独核高差；不增加通风管道,独立系统，电源回路及冷媒规格按选型,补充概念路由；厂家维护净距、孔位、排水、外机及现场安装条件待核,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
W0,原厨房主水槽合法生活污水支管核验端点,岛台重力排水接入,平面长3452；2%落差69.04；接入内底z0及地面H待测,无；检修可达,不预设结构开槽，条件未成立继续协调带水需求,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
H07,边几／单椅附近,落地灯插座,按选型,沿家具和墙边,线缆见配置；不跨客厅主通路,保留原概念条件；编号为历史追溯，不与R10.4新点号混用
