编号,设备,候选位置,规划起点_非下单尺寸,型号安装图需锁定,水电及检修条件,验收动作,候选品牌型号,安装图版本,最终柜体尺寸_mm
E01,洗碗机,上部水槽西邻、800净备菜台下直线段,600级；门650＋装卸600算例,岛桌横排在南；装卸与北侧携篮按状态核算,独立阀、合法排水及电源置可达邻柜；图示管线路由仅补充概念示意，接点未确认,全开取篮、整机前抽；通行不含人位,待选型,待提供,不得下单；待实测及选型
E02,冰箱,南墙右侧，X2500–3475，朝北,975×750×2200概念；门600＋人600,实机开门角、散热和取抽屉尺寸待核,水电和检修随新版位置重核,二维开启与检修预留；实际设备到场后复核,待选型,待提供,不得下单；待实测及选型
E03,完整蒸制功能蒸烤一体机,南墙高柜下方，X1900–2500,600×600×450；底标高650,叠放许可、通风、层板和取水箱方式待核,水电和检修随新版位置重核,二维开启与检修预留；实际设备到场后复核,待选型,待提供,不得下单；待实测及选型
E04,厨余机预留,原中厨水槽柜,不预设整机尺寸，暂不采购,与存水弯、净水器、分类桶三维排布,核实排水及物业要求，预留可达电源；图示管线路由仅补充概念示意，接点未确认,能拆装存水弯、取滤芯与抽垃圾桶,待选型,待提供,不得下单；待实测及选型
E05,洗衣机＋热泵烘干机,阳台B独立洗烘家政间的端部条件位,600mm级叠放；清洁工具用浅挂板/折叠桶，不做两排深柜,净宽、端窗/门扇、原厂叠放件、顶部拆机和前场,合规供排水、保温防冻、承载与电源；条件不满足不得按图下单；图示管线路由仅补充概念示意，接点未确认,过滤器与阀门可达，两机分别拆出，必要开启窗不被封死,待选型,待提供,不得下单；待实测及选型
E06,岛台自动上下水基站预留,岛台西800模块，开口朝厨房,净760×650×650；进出区800×1000,供排水接点、检修、上盖及退场空间待型号,水电和检修随新版位置重核,二维开启与检修预留；实际设备到场后复核,待选型,待提供,不得下单；待实测及选型
E07,净水器,原中厨水槽柜,待确定型号,滤芯抽取方向、独立阀门与维护包络,按厂家接供水与废水（如有），电源可达；图示管线路由仅补充概念示意，接点未确认,能直接换芯、不需先拆厨余机,待选型,待提供,不得下单；待实测及选型
E08,水箱式咖啡机＋磨豆机,南墙咖啡柜左侧，柜X100–1900,咖啡机320×360、磨豆机180×230概念,上方加水、接水盘和台面电源待实机,水电和检修随新版位置重核,二维开启与检修预留；实际设备到场后复核,待选型,待提供,不得下单；待实测及选型
E09,漏水探测及可选关水阀,主水槽、岛台水槽、洗衣区、机器人基站,按传感器与阀门型号,电池更换和阀门操作空间,联动阀须可手动操作；故障仍可关水；图示管线路由仅补充概念示意，接点未确认,分别模拟漏水并核查报警/关阀,待选型,待提供,不得下单；待实测及选型
E10,客厅风管机＋四套独立挂机,AC01客厅；AC02 A；AC03 B；AC04 D；AC05家庭厅,默认五套独立系统，匹数待负荷计算,公共区负荷含连通餐区；梁底净高、幕盒及吊点协同,各套电源、冷媒、冷凝水及室外机落实；图示管线路由仅补充概念示意，接点未确认,送回风无遮挡、检修可达；避直吹主要席位,待选型,待提供,不得下单；待实测及选型
E11,电饭煲／小电器,原厨房开放台面条件位,以实际清单核容量；不得长期占水槽与灶之间600–800净备菜面,开盖排汽、插座与设备开门互不冲突,手动加水；清洗去原厨房水槽；图示管线路由仅补充概念示意，接点未确认,发热排汽时不得闷在封闭电器格内,待选型,待提供,不得下单；待实测及选型
E12,燃气灶＋烟机,上部原厨房烟道附近,保留燃气，取消餐厨分隔,开放餐厨燃气使用条件由当地燃气单位现场核验,燃气、排烟、补风及报警按专业意见深化；图示管线路由仅补充概念示意，接点未确认,未确认合规；条件不允许须重新协调方案,待选型,待提供,不得下单；待实测及选型
E13,投影仪＋电动收纳幕,常规投影仪吊装于沙发上方/后方条件位；幕在客厅东侧独立平面,100–110英寸16:9起研，画面宽约2214–2435，非下单尺寸,按镜头至幕距离/投射比、画幅、吊架、散热、幕盒和噪声选型,H04投影电源/信号，H05幕电源/控制；穿线可更换，不靠梯形校正凑位置；图示管线路由仅补充概念示意，接点未确认,幕落下仍保通往D及阳台A路线；镜头不被灯具遮挡，遮光/亮度及坐距现场试听试看,待选型,待提供,不得下单；待实测及选型
E15,岛台辅助小水槽,原槽位置保留，岛台东800模块,340×360槽占位；台面900,重力排水未成立，不能因基站泵排而判定成立,水电和检修随新版位置重核,二维开启与检修预留；实际设备到场后复核,待选型,待提供,不得下单；待实测及选型
E16,嵌入式微波炉,南墙高柜上方，X1900–2500,600×600×380；底标高1200,厂家允许嵌入、叠放散热和取热食高度待核,水电和检修随新版位置重核,二维开启与检修预留；实际设备到场后复核,待选型,待提供,不得下单；待实测及选型
