点号,用途,X_mm,Y_mm,标高,给排水,检修及限制,状态
S01,蒸烤／嵌入式微波电源,2470,-2870,按厂家；置可达邻侧检修区,蒸烤暂按手动水箱,两机负荷、散热、叠放许可待核；不在机器背后不可达处封死,概念／现场待核
S02,冰箱电源,3475,-2890,按厂家与邻侧检修条件,无固定供排水假设,随冰箱右移；压缩机散热及门体最大开启待选型,概念／现场待核
S03,咖啡机／磨豆机台面电源,1000,-2980,概念距地1100,手动加水／接水盘,与溅水区域分离，负荷待核,概念／现场待核
W01,基站水电检修界面,4896,300,阀／接头／电源错层，具体待设备,独立关阀、供水及废水均待确认接点,阳台候选检修界面；非实际管件点，保温防冻及完整拆机待安装图,概念／现场待核
W02,原岛槽中心,3630,-510,台面850初选,冷热水／重力排水未成立,保留原槽位；不画已成立坡度或虚构接点,概念／现场待核
W03,主卫洗手盆中心,880,9715,盆台850概念,给排水点按柜体与原立管核定,位置调整；排水路径待现场,概念／现场待核
W04,主卫马桶机体中心,-80,9525,按洁具,仅定位占位，坑距／排污口未测,不能以机体中心作为排污施工点,概念／现场待核
X01,历史淋浴管口待核封堵区域,825,9475,原点位待测,取消淋浴专用点位；旧管口封堵待核,来自旧概念淋浴区域，不是已发现的现场管口,概念／现场待核
L01,入口衣柜照明,1180,8137,柜内／柜顶按灯具,无,检修电源可达，不跨主卧门运动范围,概念／现场待核
K01,厨房主槽／净水预留,3588,2424,按设备,原位置，合法接点仍待核,既有条件保留,概念／现场待核
K02,洗碗机预留,2900,2424,按设备,供排水及防回流待安装图,独立阀与检修；装卸和携篮错时,概念／现场待核
LA01,洗烘条件位,4591,2165,按设备,接管及可用排水待核,保留原位置，不认定接管已成立,概念／现场待核
L02,鞋柜置物格照明,-2930,2744,格顶1250概念；驱动可检修,无,不在活动门板上；原开关线路迁改现场核实,概念／现场待核
