房间,功能安排
玄关／走道,鞋柜中格：钥匙与随身小物；西墙挂钩：包和外套；底标高1100/1600；壁挂折叠换鞋座：收起后通行，展开换鞋与穿行错时
家庭厅,北桌共享学习，书椅东移220；中西阅读单椅朝西，小边几置杯；浅柜北段低层300–900：儿童常用书
主卧 A,双侧床头置物，壁灯和充电沿床头墙布置；入口衣柜西一模块下层：脏衣篮；东侧换铰内开，门框开关五金待核
儿童房 B,东南南墙1200×600可调桌，书椅面南；书包挂东墙桌上侧；玩具在桌下西段低格；衣柜下部300–900常用衣物；床尾中央活动；窗帘操作与坐人拉椅错时
客房 D,床头局部置物、充电及壁灯；行李放衣柜北端下层，取用后归位；衣柜北半挂衣、南半备用床品
客厅,保留沙发、投影、单椅；边几置物；阅读灯靠家具，电线沿墙固定；幕布放下状态核验D门及阳台通路
厨房,水槽—800备菜面—灶台；备菜台不放常驻电器；灶下锅具，灶侧调味；水槽下垃圾与清洁品；备菜柜抽屉餐具；小电器归南墙电器柜
餐区,四人日常、六人临时，岛桌相连及独立椅保留；咖啡机手动加水、磨豆、放热盘各用既有分区；北排拉椅时携篮在西侧等待；冰箱门加人不算旁通道
主卫·无淋浴,盆上镜柜；毛巾靠盆侧墙；纸品靠坐便侧墙；清洁用品入盆柜；地面不增加收纳，关门后顺序使用
客卫·唯一淋浴,西侧整条淋浴，东侧南端700入口；中央800×600擦身换衣；单人洗漱如厕顺序共享；外置上吊门西停靠；锁、排污、防水和玻璃深化待核
洗烘阳台,端部叠放洗烘；洗涤剂入上部壁柜；脏衣篮送洗即装机，避免长期占设备前；少量挂晾与折叠整理台展开单列；检修前收起
阳台 A,休闲与到窗清洁为主；东端壁挂临时晾晒，收起保通路
